$ adb shell showmap 21936
 virtual                     shared   shared  private  private
    size      RSS      PSS    clean    dirty    clean    dirty     swap  swapPSS   #  object
-------- -------- -------- -------- -------- -------- -------- -------- -------- ---- ------------------------------
      12        4        0        0        4        0        0        0        0    3 /apex/com.android.vndk.vS/lib64/android.hardware.graphics.common@1.0.so
      12        4        0        0        4        0        0        0        0    3 /apex/com.android.vndk.vS/lib64/android.hardware.graphics.common@1.1.so
     100       24        1       12       12        0        0        0        0    4 /apex/com.android.vndk.vS/lib64/android.hardware.graphics.mapper@2.0.so
     104       36        2       24       12        0        0        0        0    4 /apex/com.android.vndk.vS/lib64/android.hardware.graphics.mapper@2.1.so
     172        8        0        0        8        0        0        0        0    4 /apex/com.android.vndk.vS/lib64/libbase.so
     688      196        6      164       28        0        4        0        0    4 /apex/com.android.vndk.vS/lib64/libc++.so
      72       48        5       36        8        0        4        0        0    4 /apex/com.android.vndk.vS/lib64/libcutils.so
      12       12        0        8        4        0        0        0        0    3 /apex/com.android.vndk.vS/lib64/libhardware.so
     724       68        1       20       48        0        0        0        0    4 /apex/com.android.vndk.vS/lib64/libhidlbase.so
     252       12        0        0       12        0        0        0        0    4 /apex/com.android.vndk.vS/lib64/libprocessgroup.so
     112       28        0       20        8        0        0        0        0    4 /apex/com.android.vndk.vS/lib64/libutils.so
     100       72       11       64        4        0        4        0        0    4 /apex/com.android.vndk.vS/lib64/libz.so
     672       32        2       32        0        0        0        0        0    2 /apex/com.android.wifi/javalib/framework-wifi.jar
       4        4        4        0        0        4        0        0        0    1 /data/dalvik-cache/arm64/system_ext@priv-app@Launcher3QuickStep@Launcher3QuickStep.apk@classes.art (deleted)
     100      100       52       96        0        0        4        0        0    3 /data/dalvik-cache/arm64/system_ext@priv-app@Launcher3QuickStep@Launcher3QuickStep.apk@classes.dex (deleted)
      20        4        2        4        0        0        0        0        0    1 /data/dalvik-cache/arm64/system_ext@priv-app@Launcher3QuickStep@Launcher3QuickStep.apk@classes.vdex (deleted)
       4        4        0        4        0        0        0        0        0    1 /data/resource-cache/product@overlay@NavigationBarModeGestural@NavigationBarModeGesturalOverlay.apk@idmap
       4        4        0        4        0        0        0        0        0    1 /data/resource-cache/vendor@overlay@framework-res__auto_generated_rro_vendor.apk@idmap
     256        8        0        0        8        0        0        0        0    2 /dev/__properties__/properties_serial
     136       88        0        0       88        0        0        0        0    2 /dev/__properties__/property_info
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:binder_cache_system_server_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:boot_status_prop:s0
     128        8        0        0        8        0        0        0        0    1 /dev/__properties__/u:object_r:bootloader_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:bq_config_prop:s0
     256        8        0        0        8        0        0        0        0    2 /dev/__properties__/u:object_r:build_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:build_vendor_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:camera_config_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:config_prop:s0
     128        8        0        0        8        0        0        0        0    1 /dev/__properties__/u:object_r:dalvik_config_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:dalvik_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:dalvik_runtime_prop:s0
     256        8        0        0        8        0        0        0        0    2 /dev/__properties__/u:object_r:debug_prop:s0
     128        8        0        0        8        0        0        0        0    1 /dev/__properties__/u:object_r:default_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:exported_config_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:exported_default_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:exported_system_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:fingerprint_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:graphics_config_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:hal_instrumentation_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:heapprofd_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:hwservicemanager_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:libc_debug_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:lmkd_config_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:log_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:log_tag_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:media_variant_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:packagemanager_config_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:persist_debug_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:radio_control_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:radio_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:surfaceflinger_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:system_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:telephony_config_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:use_memfd_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:vendor_display_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:vendor_socket_hook_prop:s0
     256        4        0        0        4        0        0        0        0    2 /dev/__properties__/u:object_r:vndk_prop:s0
     128        0        0        0        0        0        0        0        0    1 /dev/__properties__/u:object_r:vold_status_prop:s0
     128        4        0        0        4        0        0        0        0    1 /dev/__properties__/u:object_r:vts_config_prop:s0
      16       16        0       16        0        0        0        0        0    4 /dev/ashmem/747c1c8c-758d-4c6b-9c82-82e32e27b01a (deleted)
       4        4        2        0        4        0        0        0        0    1 /dev/ashmem/GFXStats-21936 (deleted)
    1016      132      132        0        0      132        0        0        0    1 /dev/binder
       4        4        0        0        4        0        0        0        0    1 /dev/cgroup_info/cgroup.rc
    1016        4        4        0        0        4        0        0        0    1 /dev/hwbinder
    9992     5884     5884        0        0        0     5884        0        0  261 /dev/kgsl-3d0
     100        0        0        0        0        0        0        0        0    5 /dmabuf (deleted)
  131072      716      368        0      696        0       20        0        0    4 /memfd:jit-cache (deleted)
   65536       16        0        0       16        0        0        0        0    2 /memfd:jit-zygote-cache (deleted)
      60       60       60        0        0       60        0        0        0    2 /product/app/QuickSearchBox/QuickSearchBox.apk
       8        8        0        8        0        0        0        0        0    2 /product/overlay/NavigationBarModeGestural/NavigationBarModeGesturalOverlay.apk
      36       24        0       16        8        0        0        0        0    4 /system/bin/app_process64
      40        0        0        0        0        0        0        0        0    1 /system/fonts/CarroisGothicSC-Regular.ttf
      60        0        0        0        0        0        0        0        0    1 /system/fonts/ComingSoon.ttf
      68        0        0        0        0        0        0        0        0    1 /system/fonts/CutiveMono.ttf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/DancingScript-Bold.ttf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/DancingScript-Regular.ttf
     108        0        0        0        0        0        0        0        0    1 /system/fonts/DroidSansMono.ttf
    9496        0        0        0        0        0        0        0        0    1 /system/fonts/NotoColorEmoji.ttf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/NotoNaskhArabic-Bold.ttf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/NotoNaskhArabic-Regular.ttf
     120        0        0        0        0        0        0        0        0    1 /system/fonts/NotoNaskhArabicUI-Bold.ttf
     120        0        0        0        0        0        0        0        0    1 /system/fonts/NotoNaskhArabicUI-Regular.ttf
     104        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansAdlam-VF.ttf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansAhom-Regular.otf
     132        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansAnatolianHieroglyphs-Regular.otf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansArmenian-Bold.otf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansArmenian-Medium.otf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansArmenian-Regular.otf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansAvestan-Regular.ttf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBalinese-Regular.ttf
     132        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBamum-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBassaVah-Regular.otf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBatak-Regular.ttf
      84        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBengali-Bold.otf
      88        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBengali-Medium.otf
      80        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBengali-Regular.otf
      80        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBengaliUI-Bold.otf
      88        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBengaliUI-Medium.otf
      80        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBengaliUI-Regular.otf
     100        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBhaiksuki-Regular.otf
      24        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBrahmi-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBuginese-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansBuhid-Regular.ttf
   19856     1124      383     1044        0       80        0        0        0    1 /system/fonts/NotoSansCJK-Regular.ttc
      48        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansCanadianAboriginal-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansCarian-Regular.ttf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansChakma-Regular.otf
      24        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansCham-Bold.ttf
      24        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansCham-Regular.ttf
      60        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansCherokee-Regular.ttf
      24        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansCoptic-Regular.ttf
     492        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansCuneiform-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansCypriot-Regular.ttf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansDeseret-Regular.ttf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagari-Bold.otf
     124        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagari-Medium.otf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagari-Regular.otf
     108        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagariUI-Bold.otf
     112        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagariUI-Medium.otf
     104        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansDevanagariUI-Regular.otf
     496        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansEgyptianHieroglyphs-Regular.ttf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansElbasan-Regular.otf
     144        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansEthiopic-Bold.ttf
     140        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansEthiopic-Regular.ttf
      68        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGeorgian-VF.ttf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGlagolitic-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGothic-Regular.ttf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGujarati-Bold.ttf
     120        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGujarati-Regular.ttf
     112        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGujaratiUI-Bold.ttf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGujaratiUI-Regular.ttf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGunjalaGondi-Regular.otf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGurmukhi-Bold.ttf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGurmukhi-Regular.ttf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGurmukhiUI-Bold.ttf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansGurmukhiUI-Regular.ttf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansHanifiRohingya-Regular.otf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansHanunoo-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansHatran-Regular.otf
      20        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansHebrew-Bold.ttf
      20        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansHebrew-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansImperialAramaic-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansInscriptionalPahlavi-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansInscriptionalParthian-Regular.ttf
      60        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKaithi-Regular.ttf
      80        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKannada-Bold.ttf
      84        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKannada-Regular.ttf
      80        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKannadaUI-Bold.ttf
      80        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKannadaUI-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKayahLi-Regular.ttf
      24        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKharoshthi-Regular.ttf
     144        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKhmer-VF.ttf
      36        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKhmerUI-Bold.ttf
      40        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKhmerUI-Regular.ttf
      28        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansKhojki-Regular.otf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLao-Bold.ttf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLao-Regular.ttf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLaoUI-Bold.ttf
      32        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLaoUI-Regular.ttf
     100        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLepcha-Regular.ttf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLimbu-Regular.ttf
      36        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLinearA-Regular.otf
      60        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLinearB-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLisu-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLycian-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansLydian-Regular.ttf
      48        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalam-Bold.otf
      56        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalam-Medium.otf
      48        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalam-Regular.otf
      48        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalamUI-Bold.otf
      56        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalamUI-Medium.otf
      48        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMalayalamUI-Regular.otf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMandaic-Regular.ttf
      20        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansManichaean-Regular.otf
      64        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMarchen-Regular.otf
      24        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMasaramGondi-Regular.otf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMeeteiMayek-Regular.ttf
      20        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMeroitic-Regular.otf
      24        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMiao-Regular.otf
     112        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMongolian-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMro-Regular.otf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMultani-Regular.otf
     108        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMyanmar-Bold.otf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMyanmar-Medium.otf
     108        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMyanmar-Regular.otf
     112        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMyanmarUI-Bold.otf
     116        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMyanmarUI-Medium.otf
     112        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansMyanmarUI-Regular.otf
      20        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansNKo-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansNabataean-Regular.otf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansNewTaiLue-Regular.ttf
      68        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansNewa-Regular.otf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOgham-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOlChiki-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOldItalic-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOldNorthArabian-Regular.otf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOldPermic-Regular.otf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOldPersian-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOldSouthArabian-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOldTurkic-Regular.ttf
      84        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOriya-Bold.ttf
      84        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOriya-Regular.ttf
      80        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOriyaUI-Bold.ttf
      80        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOriyaUI-Regular.ttf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOsage-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansOsmanya-Regular.ttf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansPahawhHmong-Regular.otf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansPalmyrene-Regular.otf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansPauCinHau-Regular.otf
      28        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansPhagsPa-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansPhoenician-Regular.ttf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansRejang-Regular.ttf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansRunic-Regular.ttf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSamaritan-Regular.ttf
      20        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSaurashtra-Regular.ttf
      28        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSharada-Regular.otf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansShavian-Regular.ttf
      84        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSinhala-Bold.otf
      92        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSinhala-Medium.otf
      84        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSinhala-Regular.otf
      84        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSinhalaUI-Bold.otf
      92        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSinhalaUI-Medium.otf
      84        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSinhalaUI-Regular.otf
       8        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSoraSompeng-Regular.otf
      12        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSundanese-Regular.ttf
      16        0        0        0        0        0        0        0        0    1 /system/fonts/NotoSansSylotiNagri-Regular.ttf
